Type,ID,Ref/TransId,Amount,Date,Original,"Payment OK","Swimming in tab",Note
bank,211,UA65X34V1S,17000.00,2026-01-06,9,Yes,No,OK
bank,223,UA7EW3661B,20700.00,2026-01-07,207,Yes,No,OK
bank,224,UA7F234CBK,6000.00,2026-01-07,208,Yes,No,OK
bank,226,UA7LH36MW8,10000.00,2026-01-07,203,Yes,No,OK
bank,228,UA7N836896,20000.00,2026-01-07,204,Yes,No,OK
bank,229,UA7H933N30,9000.00,2026-01-07,202,Yes,No,OK
bank,230,UA71J365WR,10000.00,2026-01-07,209,Yes,No,OK
bank,231,UA7OZ32RPN,15000.00,2026-01-07,206,Yes,No,OK
bank,232,UA7F137E2O,26000.00,2026-01-07,210,Yes,No,OK
bank,234,UA7KC33CQ7,10000.00,2026-01-07,211,Yes,No,OK
bank,235,UA7SG6G2DO,12000.00,2026-01-07,212,Yes,No,OK
bank,236,UA79J2Z9XM,7400.00,2026-01-07,221,Yes,No,OK
bank,237,UA7IR321VE,9000.00,2026-01-07,213,Yes,No,OK
bank,238,UA7IR321V3,10000.00,2026-01-07,214,Yes,No,OK
bank,239,UA7JP2ZXUG,15000.00,2026-01-07,215,Yes,No,OK
bank,240,UA7QH2ZZTH,15000.00,2026-01-07,216,Yes,No,OK
bank,241,UA7F832H9Z,10000.00,2026-01-07,223,Yes,No,OK
bank,288,UA8C139VW5,97100.00,2026-01-08,237,Yes,No,OK
bank,289,UA8DB34S4C,10000.00,2026-01-08,244,Yes,No,OK
bank,290,UA8KU38MO0,1500.00,2026-01-08,238,Yes,No,OK
bank,291,UA8KU38QZE,10000.00,2026-01-08,239,Yes,No,OK
bank,292,UA8RG37LF7,10000.00,2026-01-08,245,Yes,No,OK
bank,301,UAD0V3T60C,5000.00,2026-01-13,248,Yes,No,OK
bank,303,UADA83N45H,10000.00,2026-01-13,277,Yes,No,OK
bank,304,UADLR3HKZ9,10000.00,2026-01-13,274,Yes,No,OK
bank,305,UAD403R6SL,19000.00,2026-01-13,278,Yes,No,OK
bank,306,UADTN5OQMH,20700.00,2026-01-13,249,Yes,No,OK
bank,307,UACS86IIAD,20700.00,2026-01-12,254,Yes,No,OK
bank,309,UAC5O3NG1B,15000.00,2026-01-12,279,No,No,"Duplicate-of payment not found"
bank,310,UACKB3HF8C,4000.00,2026-01-12,280,Yes,No,OK
bank,311,UACJP3HCRO,19550.00,2026-01-12,255,Yes,No,OK
bank,312,UACCM3KRCB,5000.00,2026-01-12,256,Yes,No,OK
bank,314,UAC363ST14,7000.00,2026-01-12,252,Yes,No,OK
bank,315,UAC7L3IY93,15000.00,2026-01-12,253,Yes,No,OK
bank,316,UACIH3LWUF,18800.00,2026-01-12,281,Yes,No,OK
bank,317,UAC9W3KIXL,9000.00,2026-01-12,250,Yes,No,OK
bank,318,UACFG3KBAT,10500.00,2026-01-12,251,Yes,No,OK
bank,319,UAC6Y3I2PM,10000.00,2026-01-12,282,Yes,No,OK
bank,402,UAEJJ3NFBQ,32000.00,2026-01-14,304,Yes,No,OK
bank,403,UAEOL3TC3Y,7000.00,2026-01-14,295,Yes,No,OK
bank,404,UAE8R3QFJK,3000.00,2026-01-14,296,Yes,No,OK
bank,405,UAEF43RPPH,24300.00,2026-01-14,305,Yes,No,OK
bank,412,UAKNC4A1NA,1.00,2026-01-20,502,Yes,No,OK
bank,413,UAKNC49O2Z,1.00,2026-01-20,501,Yes,No,OK
bank,414,UAKNC49TRL,1.00,2026-01-20,500,Yes,No,OK
bank,415,UAKNC49WFZ,1.00,2026-01-20,499,Yes,No,OK
bank,416,UAKNC49W68,1.00,2026-01-20,498,Yes,No,OK
bank,418,UAJNC48A11,1.00,2026-01-19,497,Yes,No,OK
bank,419,UAJNC486N3,10.00,2026-01-19,496,Yes,No,OK
bank,420,UAJNC484WJ,10.00,2026-01-19,495,Yes,No,OK
c2b,77433,UAKNC4A1NA,1.00,2026-01-20,,No,No,"Cross-type: no bank original found for trans_id UAKNC4A1NA"
c2b,78433,UAKNC4A3A1,1.00,2026-01-20,bank:411,Yes,No,"Bank original has payment"
c2b,79433,UAK8248IMV,3500.00,2026-01-20,bank:410,Yes,No,"Bank original has payment"
c2b,80433,UAMI44GWW2,150.00,2026-01-22,23433,No,Yes,"Original is swimming"
c2b,81433,UANLV4K11D,150.00,2026-01-23,71433,No,Yes,"Original is swimming"
c2b,81465,UATF955LDB,150.00,2026-01-29,81464,No,Yes,"Original is swimming"
c2b,81469,UATGT5BI68,150.00,2026-01-29,81468,No,Yes,"Original is swimming"
c2b,81476,UAT8S520TG,150.00,2026-01-29,81475,No,Yes,"Original is swimming"
c2b,81494,UAUQ050V21,150.00,2026-01-30,81493,No,Yes,"Original is swimming"
c2b,81498,UAUIY5AD9N,150.00,2026-01-30,81497,No,Yes,"Original is swimming"
c2b,81560,UB4R95K25U,10000.00,2026-02-04,81559,Yes,No,"Original has payment"
c2b,81618,UB5345U2C9,150.00,2026-02-05,81617,No,Yes,"Original is swimming"
